name,address
Golmath Durga Puja Samity,"Bhawanipore, Kolkata"
Gouribari Sarbojanin,"4 Gouri Bari Ln Manicktala, Kolkata"
Gouriberia Sarbojanin Durgotsab,"CIT Park, Kolkata"
Greenpark Sarbojonin Durgotsob,"Narendrapur, Kolkata"
Grey Street Sarbojanin Durgotsab Committee,"Shobhabazar, Kolkata"
GTS Club Hakimpara Durga Puja,"ara, Siliguri"
Haiderpara Sporting Club Durga Puja,"para, Siliguri"
Halder Bagan Sarbojanin Durgotsab Committee,"Shyambazar, Kolkata"
Halsibagan Durga Puja,"Maniktala, Kolkata"
Haltu Nandibagan Sarbojanin,"Haltu Nandibagan, Kolkata"
Hari Ghosh Lane,"Hari Ghosh St Manicktala, Kolkata"
Hari Ghosh Street Sarbojanin Durgotsab Samity,"Maniktala, Kolkata"
Haridevpur 41 Pally Club,South Kolkata
Haridevpur Adarsha Samiti Club,"Haridevpur, Kolkata"
Haridevpur Ajeya Sanghati,"Haridevpur, Kolkata"
Haridevpur Nabinsathi Club,"Haridevpur, Kolkata"
Haridevpur New Sporting Club,"Haridevpur, Kolkata"
Haridevpur Vivekananda Sporting Club,"Haridevpur, Kolkata"
Harijan Kalyan Sangh,"Ballygunge, Kolkata"
Harinath Mukherjee Bari,"Machuabazar, Kolkata"
Harish Park,"Bhowanipore, Kolkata"
Haritaki Bagan Sarbojonin Durgotsab,"Maniktala, Kolkata"
Hathkhola Dutta Bari,"Ahiritola, Kolkata"
Hathkhola Dutta Barir Durga Pujo,"78 Nimtala Ghat St, Kolkata 700005"
Hatibagan Nabin Pally Durga Puja,"Hatibagan, Kolkata"
Hatibagan Sarbojonin,"Hatibagan, Kolkata"
Hatkhola Gosaipara Sarbojonin Durgotsab,"Shobhabazar, Kolkata"
Hazra Park Durgotsab,"Jatin Das Park, Patuapara, Bhowanipore, Kolkata"
Hazra Park Sarbojanin,"Hazra, Kolkata"
Hindustan Club,"37/B, Hindustan Rd, Dover Terrace, Ballygunge, Kolkata"
Hindusthan Park Sarbojonin,"51/1 Gol Park Dhakuria, Kolkata"
Hossenpur Sarbajanin Durgoutsav,"Anandapur, Kolkata"
Howrah Maidan Barowari Durga Puja,"lture theme in Howrah Maidan, Howrah"
Howrah Maidan Kalibari Durga Puja,"onal Art theme in Howrah Maidan, Howrah"
Howrah Maidan Mitra Mandir Durga Puja,"mpowerment theme in Howrah Maidan, Howrah"
Howrah Maidan Sarbojanin Durgotsab,"mpowerment theme in Howrah Maidan, Howrah"
Howrah Maidan Udayan Sangha,"Architecture theme in Howrah Maidan, Howrah"
Howrah Maidan Young Boys Club,"al Harmony theme in Howrah Maidan, Howrah"
Howrah Sarat Sadan,"Heritage theme in Howrah Maidan, Howrah"
Hurumtaal Park,"Garfa, Kolkata"
Jagat Mukherjee Park,"Shobhabazar, Kolkata"
Jagrata Sangha,"South Dum Dum, Kolkata"
Jagritee Durga Puja Bhowanipur,"Bhowanipore, Kolkata"
Jayasree Park Sarbojanin Samiti,"Behala, Kolkata"
Jhamapukur Sarbojanin Durgotsav,"Machuabazar, Kolkata"
Jodhpur Park,"1D Jodhpur Park, Kolkata"
Joka Diamond Park Sarbojanin Durgotsab,"Joka, Kolkata"
Jorabagan Chhatra sanghati,"Jorabagan, Kolkata"
Jorasanko 7 Palli Sarbojonin Durga Puja,"Jorasanko, Kolkata"
Jorasanko Sadharan Durgotsab Samiti,"34 Vivekananda Rd Jorasanko, Kolkata"
Jorasanko Sadharan Durgotsav Samity,"Jorasanko, Kolkata"
Joyrampur Sarbojanin Durga Puja Committee,"Behala, Kolkata"
Kabitirtha Saradotsav,"13/1 Ram Kamal St, Kolkata"
Kabitirthey Sarodotsab Durga Puja,"Khidderpore, Kolkata"
Kacharipara Durga Sporting Club,"Tangra, Kolkata"
Kalighat Kishore Sangha,"Kalighat, Kolkata"
Kalighat Milan Sangha,"Kalighat, Kolkata"
Kalighat Sree Sangha,"Kalighat, Kolkata"
Kalighat Yuba Maitry,"Kalighat, Kolkata"
Kalitala Sporting Club,"Kalikapur, Kolkata"
Kalyan Sangha,"Ballygunge, Kolkata"
Kalyani ITI More Luminos Club,Kalyani
Kamdahari Subhash Pally Sarbojanin Durgotsab,"Garia, Kolkata"
Kashi Bose Lane,"5/1 Kashi Bose Ln Manicktala, Kolkata"
Kashi Bose Lane Sarbojanin,North Kolkata
Kendua Shanti Sangha,South Kolkata
Kestopur Prafulla Kanan Paschim Adhibasi Brinda,"Kestopur, Kolkata"
Khelat Ghose er Durga Pujo,"47 Pathuriaghata St, Kolkata 700006"
Khidderpore 25 Pally,"Khidderpore, Kolkata"
Khidderpore 26 Pally,"Khidderpore, Kolkata"
Khidderpore 74 Pally,"Khidderpore, Kolkata"
Khidderpore 75 Pally,"Khidderpore, Kolkata"
Khidderpore Jubok Sangha,"Khidderpore, Kolkata"
Khidderpore Nabarag,"Khidderpore, Kolkata"
Khidderpore Nabarag Saradotsav,"30A, Kidderpore, Kolkata"
Khidderpore Palli Saradiya,"16A Hem Chandra St, Kolkata"
Khidderpore Pally Saradiya,"Khidderpore, Kolkata"
Khidderpore Sarbojanin,"Mansatala Row, Kolkata"
Khidderpore Shibtala Amar Sangha,"Khidderpore, Kolkata"
Khidirpur Jubogosthi,"Khidderpore, Kolkata"
Kidderpore Milan Sangha Club,"Khidderpore, Kolkata"
Kidderpore Sarbojonin Durgotsab,"Khidderpore, Kolkata"
Kolahal Gosthi Club,"Chetla, Kolkata"
Kumartuli Park,"8B Abhay Mitra St Kumartuli, Kolkata"
Kumartuli Park Sarbojanin Durgotsab,North Kolkata
Kumortuli Sarbojonin Durgotsab,"Shobhabazar, Kolkata"
Laha Bari Puja,"Maniktala, Kolkata"
Lake Town Adhibasi Brinda,"Lake Town, Kolkata"
Lalabagan Nabankur Sangha,"Maniktala, Kolkata"
Lalabagan Sarbojanin Durgotsab,"Maniktala, Kolkata"
Machua Bazar Sarbojanik Durgapuja Samity,"Machuabazar, Kolkata"
Maddox Square,South Kolkata
Madhya Garfa Sarbojanin Durgotsab Puja Committee,"Garfa, Kolkata"
Madhya Kolkata Uttoran,"Sealdah, Kolkata"
Mahalla Sarbojanin Durgautsab Samity,"Shobhabazar, Kolkata"
Mahamayatala East Milani Durga Puja,"Garia, Kolkata"
Mahendra Srimani Family's Durga Puja,"Machuabazar, Kolkata"
Maitry Sangha Durga Puja Committee,"Shobhabazar, Kolkata"
Mallick Bari Durga Puja,"Bhawanipore, Kolkata"
Maniktala Chaltabagan Lohapatty,Central Kolkata
Maniktala Saha Bari Durga Puja,"Maniktala, Kolkata"
Master Da Smriti Sangha Club,"Kestopur, Kolkata"
Matri Mandir,"22 Bipin Pal Rd Manoharpukur, Kolkata"
Md. Ali Park,"Chittaranjan Ave College Square, Kolkata"
Milan Mandir,"Behala, Kolkata"
Milan Sangha Club,"Lake Town, Kolkata"
Milanpally Durga Puja,"ally, Siliguri"
Mitra Bari Durga Puja,"Bhawanipore, Kolkata"
Mitra Sangha Behala,"Behala, Kolkata"
Mohan Bagan Lane Sarbojonin Durga pujo,"Shyambazar, Kolkata"
Mohun Bagan Barwari,"Shyambazar, Kolkata"
Motilal Seal Bari,"Sealdah, Kolkata"
Mudiali Club,"37 SR Das Rd Mudiali, Kolkata"
Muhammad Ali Park,"Sealdah, Kolkata"
Mukul Sangha Behala,"Behala, Kolkata"
Mukundapur Sarbojanin,"Mukundapur, Kolkata"
N.S.C. Sports Club,"Regent Estate, Kolkata"
Naba Baghbazar Sarbajanin Durga Puja,"Bagbazar, Kolkata"
Naba Durga,"Garia Place, Kolkata"
Nabajyoti Sangha,"Garfa, Kolkata"
Nabapally Khelarmath Durga Puja Committee,"Behala, Kolkata"
Nabin Sarkar St Sarbojanin,"35/1A, Bagbazar St, Bidhan Sarani, Baghbazar, Kolkata"
Nabin Sathi Club,"Ustad Amir Ali Khan Sarani Haridevpur, Kolkata"
Naktala Arabinda Nagar Sarbojanin Durgotsab,"Naktala, Kolkata"
Naktala Arabinda Sangha,"Naktala, Kolkata"
Naktala Pally Mangal Samiti,"Naktala, Kolkata"
Naktala Pally Unnayan Samity,"Naktala, Kolkata"
Naktala Sammilani Club,"Naktala, Kolkata"
Naktala Sammilani Club Padma-Shree,"19 Naktala Rd Keya Bagan, Kolkata"
Naktala Udayan Sangha,South Kolkata
Nalin Sarkar Street,"Nalin Sarkar St, Sovabazar, Hati Bagan, Kolkata"
Nalin Sarkar Street Durga Puja,North Kolkata
Nandana Yuba Sangha,"47 Nandana Park Behala, Kolkata"
Nandana Yuba Sangha Club,"Behala, Kolkata"
Narasimha Dawn Bari,"Jorasanko, Kolkata"
Naskarpur Sarbojanin Durgotsav,"Behala, Kolkata"
Natunpally Pradeep Sangha,"Lake Town, Kolkata"
Nawpara Dadabhai Sangha,"79, AK Mukherjee Rd, Noapara, Palpara, Baranagar, Kolkata"
Nayer Pally Sealdah Sarbojanin Durga Puja,"Machuabazar, Kolkata"
Netaji Jatiya Sebadal,"Jadavpur, Kolkata"
Netaji Sporting Club Durga Puja,"Lake Town, Kolkata"
New Alipore Sarbojanin Durgotsav,"New Alipore, Kolkata"
New Alipur Hindusthan Club,"New Alipur, Kolkata"
New Santoshpur Adi Durgotsab,"Santoshpur, Kolkata"
New Town Sarbojanin (BG Block),"BG Block, Action Area 1, Newtown, Kolkata"
Newtown Sarbojanin Durgotsav,"New Town, Kolkata"
Nigampally Unnayan Samity Hakimpara,"ara, Siliguri"
Nimtala Sarbojanin,"16B Nimtala Ln Ahiritola, Kolkata"
Nimtala Sarbojanin Durga Puja,"Ahiti, Kolkata"
Nirvik Sangha,"Baguiati, Kolkata"
North Tridhara Durga Puja,"Shyambazar, Kolkata"
Paddapukur Youth Association,"Padmapukur, Kolkata"
Padmapukur Barowari Samiti,"Padmapukur, Kolkata"
Padmapukur Barwari,"47A, Paddapukur Ln, Chakraberia, Kolkata"
Paikpara 15 Palli,"Gangulipara Paikpara, Kolkata"
Paikpara Sarbojanin Durgatsav Samity,"Paikpara, Kolkata"
Palli Asar Sporting Club,"New Alipore, Kolkata"
Pallibasi Durgotsab Committee,"Machuabazar, Kolkata"
Pallir Yubak Brinda,"Sealdah, Kolkata"
Pally Bashi Brindo,"LIG Housing, Dutta Bagan, Paikpara, Kolkata"
Pally Unnayan Samity,"Paschim Putiary, Kolkata"
Park Circus Beniapukur United Puja Committee,"Park Circus, Kolkata"
Parnasree Chata Park,"Behala, Kolkata"
Parnasree Club Durga Puja,"Behala, Kolkata"
Paschim Putiary Unnayani Sangha,"Paschim Putiary, Kolkata"
Pataldanga Basu Mullick Family Durgapujo,"Sealdah, Kolkata"
Pathuria Ghata 5 ER Pally,"Malapara Santoshpur Jorabagan, Kolkata"
Pathuriaghata Pancher Pally Sarbojonin Durgotsab,"Jorabagan, Kolkata"
Pathuriaghata Rajbari,"Jorabagan, Kolkata"
Patipukur Basakbagan Swastik Sangha,"Patipukur, Kolkata"
Patipukur Bidhan Pally Netaji Sangha,"Patipukur, Kolkata"
Patuli Central Club,"Patuli, Kolkata"
Patuli Ghoshpara Sarbojanin Durga Puja,"Patuli, Kolkata"
Peyarabagan Sarbojanin Durgotsav,"Bhowanipore, Kolkata"
Phalguni Sangha,"Ekdalia, Ballygunge, Kolkata"
Picnic Sebayet Samity,"Picnic Garden, Kolkata"
Poddarnagar Sarbojanin Durgotsav,"Jadavpur, Kolkata"
Purba Barisha Shitalatala Kishore Sangha,"Behala, Kolkata"
Purbachal Amra Sabai Club,"Purbachal, Kolkata"
Purbachal Shakti Sangha,"Purbachal, Kolkata"
Purbanchal Prabhati Sangha Durga Puja,"Tangra, Kolkata"
Purna Chandra Dhar Bari,"Sealdah, Kolkata"
Putiary Club,"Paschim Putiary, Kolkata"
Rabindra Kanan,"329 Rabindra Sarani Ahiritola, Kolkata"
Rabindra Kanan Sarbojanin Durgotsab,"Girish Park, Kolkata"
Rabindra Sangha Hakimpara Durga Puja,"ara, Siliguri"
Railpukur United Club,"Patipukur, Kolkata"
Raipur Club Durga Puja,"Garia, Kolkata"
Raja Subodh Mallick Square Park Sarbojanin Durgotsav,"Sealdah, Kolkata"
Rajdanga,"Rajdanga Chakraborty Para, Kolkata"
Rajdanga Naba Uday Sangha,"Kasba, Kolkata"
Rajpur Sonarpu Sarbojanin Durgotsav,"Rajpur Sonarpur, Kolkata"
Ramchandrapur Tarun Sangha,"Rajpur Sonarpur, Kolkata"
RAMDULAL NIBAS er Durga Pujo,"67E Beadon St, Kolkata 700006"
Ramdulal Sarkar Street,"Girish Park, Kolkata"
Ramesh Dutta Street Sarbojanin,"Girish Park, Kolkata"
Ramgopal Saha House Durga Pujo,"Sealdah, Kolkata"
Rammohan Sammilani,"Machuabazar, Kolkata"
Rani Rashmoni er Durga Pujo,"13 Rani Rashmoni Rd, Janbazar, Kolkata 700013"
Rani Rashmoni Family's Durga Puja,"Sealdah, Kolkata"
Roychoudhury Barir Durga Pujo,"26 Sabarna Para Rd, Barisha, Kolkata 700008"
Rupchand Mukherjee Lane Sarbojanin Durgotsav,"Bhawanipore, Kolkata"
Sabarna Roy Choudhury Paribar Parishad,"Behala, Kolkata"
Sabeda Bagan Club,"Behala, Kolkata"
Sahapur Mitali Sangha,"Behala, Kolkata"
Sahapur Panchabatitala Sammilani Club,"Behala, Kolkata"
Salkia 61 Pally Sarbojanin Durga Puja,Salkia
Salkia Agradut Sangha,"Salkia, Howrah, West Bengal, India"
Salkia Alapani Club,"1, Tripura Roy Lane Babudanga, Babudanga, Golabari, Bandhaghat, Mali Panchghara, Howrah, West Benga"
Salkia Balak Sangha,"J82R+99M, Bibi Bagan Ln, Salkia, Howrah, West Bengal 711106, India"
Salkia Baroari Durgotsav,Salkia
Salkia Chatra Bayam Samity Sarbojanin,Salkia
Salkia Durga Dal,"Salkia, Howrah, West Bengal, India"
Salkia Sadharan Durga Puja,Salkia
Salkia Sitalatala Sarbojanin Durgotsab,Salkia
Salt Lake AK Block,"AK Block, Sector 2, Bidhannagar, Kolkata"
Salt Lake BJ Block,North-East Kolkata
Salt Lake FD Block,"FD Block, Sector 3, Bidhannagar, Kolkata"
Samajsebi,"24a Lake View Rd Kalighat, Kolkata"
Sammilita Malapara Sarbojanin Durgotsab,"Jorabagan, Kolkata"
Sanatan Dharmotsahini Sabha Bhowanipore,"Bhowanipore, Kolkata"
Santi Doot Sangha,"Behala, Kolkata"
Santosh Mitra Square,Central Kolkata
Sarbodaya Sammilani Durgapuja,"Dumdum, Kolkata"
Sarkar Bagan Adhibasi Brinda Durgotsav Samity,"Tala, Kolkata"
Sarkar Bagan Sammilita Sangha,"Tala, Kolkata"
Sarodia Sammilani,"Gariahat, Kolkata"
Sealdah Athletic Club,"Kaiser St Sealdah, Kolkata"
Sealdah Railway Athletic Club,"Sealdah, Kolkata"
Selimpur Pally,"110, Selimpur Rd, Dhakuria, Selimpur, Kolkata"
Serampore Udbodhan Durga Puja,Serampore
Shakuntala Park Netaji Sangha,"Behala, Kolkata"
Shimla Sporting Club,"Sealdah, Kolkata"
Shyam Square,"Bidhan Sarani Shyam Bazar, Kolkata"
Shyam Square Sarbojanin Durgotsab,"Shyambazar, Kolkata"
Shyama Pally Shyama Sangha Durga Puja,"Jadavpur, Kolkata"
Shyambazar Friends Union Puja Committee,"Shyambazar, Kolkata"
